Date,Open,High,Low,Close,Adj Close,Volume
2015-09-23,11.150000,11.150000,10.966667,10.966667,10.634228,15000
2015-09-24,10.833333,10.971667,10.415000,10.881667,10.551802,56400
2015-09-25,11.173333,11.218333,10.933333,10.933333,10.601904,14400
2015-09-28,10.856667,10.856667,10.581667,10.581667,10.260898,22200
2015-09-29,10.826667,10.833333,10.685000,10.695000,10.370793,26400
2015-09-30,11.500000,11.513333,11.395000,11.513333,11.164323,10800
2015-10-01,10.916667,11.128333,10.863333,11.128333,10.790992,4200
2015-10-02,11.351667,11.383333,11.351667,11.383333,11.038260,2400
2015-10-05,12.000000,12.163333,11.958333,12.158333,11.789767,30600
2015-10-06,12.115000,12.116667,11.833333,11.833333,11.474620,18600
2015-10-07,12.286667,12.636667,12.190000,12.493333,12.114614,31800
2015-10-08,12.500000,12.500000,12.313333,12.333333,11.959463,12000
2015-10-09,12.480000,12.603333,12.453333,12.453333,12.075826,10800
2015-10-12,12.425000,12.510000,12.425000,12.456667,12.079058,3600
2015-10-13,12.273333,12.273333,12.273333,12.273333,11.901285,1200
2015-10-14,12.188333,13.013333,12.091667,13.013333,12.618851,37800
2015-10-15,13.168333,13.331667,13.035000,13.228333,12.827333,33000
2015-10-16,13.331667,13.331667,13.000000,13.281667,12.879049,13200
2015-10-19,13.333333,13.366667,13.226667,13.365000,12.959857,15000
2015-10-20,13.250000,13.281667,13.178333,13.226667,12.825718,19800
2015-10-21,13.446667,13.595000,13.446667,13.595000,13.182885,7200
2015-10-22,13.740000,14.216667,13.740000,14.128333,13.700051,22800
2015-10-23,14.495000,14.666667,14.166667,14.558333,14.117016,48600
2015-10-26,14.665000,14.665000,14.133333,14.143333,13.714596,22200
2015-10-27,14.000000,14.030000,13.875000,13.893333,13.472173,11400
2015-10-28,14.125000,14.248333,14.111667,14.175000,13.745301,15000
2015-10-29,13.896667,13.896667,13.666667,13.666667,13.252380,28200
2015-10-30,13.666667,13.836667,13.666667,13.805000,13.386520,12600
2015-11-02,13.855000,14.073333,13.855000,14.073333,13.646719,9000
2015-11-03,13.916667,14.256667,13.916667,14.225000,13.793786,19800
2015-11-04,14.216667,14.233333,14.183333,14.233333,13.801867,5400
2015-11-05,14.233333,14.233333,13.933333,13.933333,13.510961,4800
2015-11-06,14.138333,14.501667,14.138333,14.501667,14.062068,63600
2015-11-09,14.558333,14.558333,14.021667,14.155000,13.725908,34200
2015-11-10,13.916667,13.916667,13.593333,13.670000,13.255609,24600
2015-11-11,13.726667,13.898333,13.676667,13.676667,13.262077,23400
2015-11-12,13.500000,13.611667,13.308333,13.323333,12.919451,30000
2015-11-13,13.213333,13.440000,13.085000,13.160000,12.761071,13800
2015-11-16,13.190000,13.386667,13.183333,13.343333,12.938848,7800
2015-11-17,13.500000,13.678333,13.411667,13.671667,13.257228,9600
2015-11-18,13.803333,14.178333,13.803333,14.178333,13.748535,38400
2015-11-19,14.028333,14.520000,14.015000,14.501667,14.062068,21000
2015-11-20,14.553333,14.558333,14.516667,14.516667,14.076613,21600
2015-11-23,14.511667,14.511667,14.163333,14.278333,13.845504,18000
2015-11-24,14.175000,14.491667,14.175000,14.488333,14.049136,13200
2015-11-25,14.516667,14.695000,14.516667,14.585000,14.142876,13200
2015-11-27,14.585000,14.585000,14.585000,14.585000,14.142876,0
2015-11-30,14.833333,15.018333,14.710000,14.950000,14.496809,201600
2015-12-01,15.025000,15.316667,15.011667,15.316667,14.852361,110400
2015-12-02,15.361667,15.380000,14.968333,14.968333,14.514586,23400
2015-12-03,15.093333,15.093333,14.833333,14.833333,14.383678,7200
2015-12-04,15.188333,15.476667,15.188333,15.340000,14.874987,49200
2015-12-07,15.375000,15.375000,15.166667,15.191667,14.731148,16200
2015-12-08,14.830000,15.051667,14.770000,15.050000,14.593778,45000
2015-12-09,14.616667,14.703333,14.616667,14.703333,14.257622,4200
2015-12-10,14.878333,14.878333,14.878333,14.878333,14.427313,1800
2015-12-11,14.681667,14.681667,14.366667,14.366667,13.931158,40800
2015-12-14,14.541667,14.541667,13.975000,14.240000,13.808333,16800
2015-12-15,14.588333,14.876667,14.455000,14.876667,14.425700,30600
2015-12-16,14.456667,15.035000,14.456667,15.035000,14.579234,12000
2015-12-17,15.050000,15.050000,14.683333,14.783333,14.335196,10200
2015-12-18,14.283333,14.350000,14.033333,14.033333,13.607931,9600
2015-12-21,14.298333,14.375000,14.161667,14.375000,13.939241,25200
2015-12-22,14.700000,14.701667,14.471667,14.520000,14.114043,18600
2015-12-23,14.800000,14.800000,14.751667,14.751667,14.339234,5400
2015-12-24,14.676667,14.936667,14.676667,14.936667,14.519063,4800
